Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2002-10-18 00:00:00,0.256071001291275,29.585140228271484,29.0,20.4950008392334,10.510000228881836,37.45000076293945,16.523874282836914,,70.55000305175781,30.40999984741211,70.98470306396484,14.460000038146973,59.349998474121094,18.969999313354492,23.19499969482422,17.479999542236328,62.654998779296875,48.6927490234375,26.575000762939453,5.431250095367432,31.774194717407227,45.875,33.599998474121094,24.9325008392334,,,31.449317932128906,34.5099983215332,56.279998779296875,36.0
2002-10-21 00:00:00,0.25999999046325684,30.14533233642578,30.360000610351562,21.454999923706055,10.949999809265137,37.21500015258789,17.145370483398438,,74.69999694824219,29.850000381469727,72.22753143310547,15.449999809265137,61.11000061035156,20.270000457763672,24.0,18.299999237060547,64.5,48.8072509765625,26.2549991607666,5.692500114440918,30.502845764160156,46.095001220703125,34.400001525878906,24.829999923706055,,,32.08783721923828,34.779998779296875,56.400001525878906,36.0
2002-10-22 00:00:00,0.26249998807907104,29.87398910522461,30.139999389648438,20.889999389648438,11.220000267028809,35.875,16.87901496887207,,72.5,29.56999969482422,71.21414947509766,15.119999885559082,59.81999969482422,19.90999984741211,23.940000534057617,18.950000762939453,64.3949966430664,48.33015441894531,25.834999084472656,5.662499904632568,29.696395874023438,45.16999816894531,33.560001373291016,24.735000610351562,,,33.949432373046875,34.349998474121094,56.099998474121094,35.18000030517578
2002-10-23 00:00:00,0.26571398973464966,29.497610092163086,30.700000762939453,21.399999618530273,11.260000228881836,36.5,17.55970001220703,,74.2699966430664,30.440000534057617,71.3193130493164,16.15999984741211,57.95000076293945,19.770000457763672,23.969999313354492,19.25,64.68000030517578,49.007633209228516,26.600000381469727,5.65500020980835,29.440227508544922,45.5,32.0099983215332,25.092500686645508,,,33.03212356567383,35.130001068115234,57.22999954223633,35.130001068115234
2002-10-24 00:00:00,0.26232099533081055,28.499767303466797,29.950000762939453,20.55500030517578,11.75,36.67499923706055,17.16510009765625,,72.5,29.889999389648438,68.92925262451172,15.630000114440918,57.709999084472656,19.700000762939453,23.44499969482422,18.709999084472656,62.8650016784668,48.17748260498047,25.614999771118164,5.699999809265137,29.003795623779297,44.400001525878906,33.060001373291016,24.56999969482422,,,33.17601776123047,34.29999923706055,56.470001220703125,34.66999816894531
2002-10-25 00:00:00,0.2753570079803467,28.998689651489258,30.31999969482422,20.725000381469727,11.779999732971191,36.6150016784668,17.73727035522461,,73.98999786376953,30.579999923706055,71.28107452392578,16.59000015258789,57.7599983215332,20.3700008392334,23.485000610351562,18.5,63.8650016784668,50.48664093017578,26.34000015258789,5.87375020980835,30.265655517578125,44.349998474121094,33.7400016784668,24.272499084472656,,,32.88823318481445,35.959999084472656,57.33000183105469,35.11000061035156
2002-10-28 00:00:00,0.2787500023841858,29.97902488708496,28.979999542236328,20.235000610351562,10.899999618530273,36.790000915527344,17.145370483398438,,73.58000183105469,30.149999618530273,73.193115234375,16.809999465942383,57.27000045776367,21.25,22.96500015258789,18.31999969482422,62.685001373291016,51.74618148803711,25.975000381469727,5.838749885559082,29.943073272705078,42.875,33.470001220703125,23.90999984741211,,,33.82352828979492,35.04999923706055,56.06999969482422,34.63999938964844
2002-10-29 00:00:00,0.2757140100002289,30.574228286743164,29.700000762939453,20.229999542236328,10.600000381469727,35.07500076293945,16.523874282836914,,72.37000274658203,29.940000534057617,73.36520385742188,16.399999618530273,56.25,20.459999084472656,23.190000534057617,18.420000076293945,62.875,51.00190734863281,26.03499984741211,5.783750057220459,29.648956298828125,44.505001068115234,32.56999969482422,23.670000076293945,,,32.91521453857422,35.20000076293945,56.470001220703125,33.22999954223633
2002-10-30 00:00:00,0.2853569984436035,31.624589920043945,30.200000762939453,20.485000610351562,10.90999984741211,35.70000076293945,16.602794647216797,,72.36000061035156,29.469999313354492,75.2103271484375,16.989999771118164,57.29999923706055,21.049999237060547,23.424999237060547,18.200000762939453,63.665000915527344,51.7557258605957,26.55500030517578,5.887499809265137,30.407970428466797,44.470001220703125,33.45000076293945,23.832500457763672,,,34.39010238647461,34.400001525878906,53.79999923706055,34.08000183105469
2002-10-31 00:00:00,0.2869639992713928,31.83466148376465,29.75,20.424999237060547,11.180000305175781,33.814998626708984,16.474550247192383,,71.5999984741211,28.8799991607666,75.46845245361328,17.299999237060547,58.75,20.75,23.239999771118164,18.110000610351562,63.470001220703125,51.7557258605957,26.735000610351562,5.898749828338623,30.142314910888672,44.224998474121094,32.79999923706055,22.737499237060547,,,33.95842742919922,33.75,53.54999923706055,33.65999984741211
2002-11-01 00:00:00,0.29214298725128174,31.729625701904297,30.399999618530273,21.05500030517578,11.609999656677246,34.42499923706055,16.800094604492188,,73.44999694824219,28.399999618530273,76.86424255371094,18.299999237060547,58.59000015258789,21.520000457763672,23.415000915527344,18.1299991607666,64.0250015258789,51.58396911621094,26.5,5.931250095367432,30.493358612060547,43.994998931884766,33.369998931884766,23.172500610351562,,,34.704864501953125,33.88999938964844,54.54999923706055,34.65999984741211
2002-11-04 00:00:00,0.30160701274871826,32.85000991821289,29.670000076293945,21.43000030517578,12.3100004196167,33.970001220703125,17.806325912475586,,75.95999908447266,27.209999084472656,78.87189483642578,18.770000457763672,58.709999084472656,22.010000228881836,22.850000381469727,18.43000030517578,64.1500015258789,51.22137451171875,28.049999237060547,5.918749809265137,30.407970428466797,43.25,33.36000061035156,23.352500915527344,,,35.27143859863281,31.530000686645508,53.45000076293945,34.2599983215332
2002-11-05 00:00:00,0.30178600549697876,32.035980224609375,31.520000457763672,21.540000915527344,12.6899995803833,34.650001525878906,18.378494262695312,,76.73999786376953,28.280000686645508,78.08795166015625,18.350000381469727,59.88999938964844,22.469999313354492,23.18000030517578,18.93000030517578,64.41999816894531,51.71755599975586,28.34000015258789,5.764999866485596,30.948766708374023,44.369998931884766,33.119998931884766,22.802499771118164,,,35.7031135559082,32.400001525878906,54.41999816894531,35.58000183105469
2002-11-06 00:00:00,0.3075000047683716,32.237300872802734,33.58000183105469,21.78499984741211,12.960000038146973,34.58000183105469,18.605390548706055,,76.55000305175781,28.299999237060547,77.95410919189453,19.149999618530273,60.27000045776367,22.059999465942383,22.700000762939453,19.059999465942383,65.24500274658203,53.435115814208984,28.514999389648438,5.652500152587891,31.9165096282959,43.93000030517578,33.61000061035156,23.6299991607666,,,35.07358932495117,32.099998474121094,54.34000015258789,35.11000061035156
2002-11-07 00:00:00,0.2857140004634857,31.073150634765625,32.290000915527344,21.270000457763672,12.350000381469727,33.75,18.013490676879883,,74.05000305175781,27.190000534057617,75.47801208496094,18.440000534057617,59.88999938964844,20.600000381469727,22.40999984741211,19.309999465942383,64.30000305175781,52.88167953491211,28.0049991607666,5.567500114440918,31.859582901000977,44.005001068115234,32.470001220703125,23.75749969482422,,,34.273189544677734,31.6200008392334,54.0,34.47999954223633
2002-11-08 00:00:00,0.2828570008277893,31.116914749145508,33.18000030517578,21.579999923706055,12.5600004196167,33.75,17.441320419311523,,73.08000183105469,26.649999618530273,74.17781829833984,18.149999618530273,60.27000045776367,20.200000762939453,22.260000228881836,17.790000915527344,64.1449966430664,53.35877990722656,27.549999237060547,5.50124979019165,32.13472366333008,43.845001220703125,32.400001525878906,21.707500457763672,,,34.785804748535156,30.899999618530273,54.029998779296875,34.61000061035156
